ID,类别,置信度,X1,Y1,X2,Y2,宽度,高度,面积,中心X,中心Y,时间戳
392,person,0.900,76.6,399.6,545.9,1280.0,469.3,880.4,413151,311.2,839.8,00:30:05.709
393,person,0.895,63.1,403.3,550.3,1278.9,487.2,875.6,426572,306.7,841.1,00:30:05.774
394,person,0.897,63.1,403.4,547.3,1278.9,484.2,875.4,423894,305.2,841.1,00:30:05.847
395,person,0.898,57.4,405.2,554.0,1279.6,496.5,874.3,434129,305.7,842.4,00:30:05.909
396,person,0.898,57.2,405.2,554.5,1279.6,497.3,874.3,434813,305.9,842.4,00:30:05.982
397,person,0.899,53.6,404.7,544.2,1277.7,490.6,873.0,428319,298.9,841.2,00:30:06.053
398,person,0.899,53.8,405.0,544.1,1277.7,490.3,872.7,427871,299.0,841.4,00:30:06.117
399,person,0.905,53.4,398.8,547.4,1279.2,494.0,880.4,434931,300.4,839.0,00:30:06.182
400,person,0.905,53.3,399.1,546.7,1279.3,493.4,880.2,434316,300.0,839.2,00:30:06.257
401,person,0.905,57.5,398.8,546.8,1279.3,489.3,880.4,430807,302.1,839.1,00:30:06.334
402,person,0.905,57.5,398.7,546.4,1279.2,488.9,880.5,430512,302.0,839.0,00:30:06.401
403,person,0.910,62.1,395.5,543.4,1279.5,481.3,884.0,425465,302.7,837.5,00:30:06.472
404,person,0.911,62.1,395.3,544.1,1279.6,482.0,884.3,426278,303.1,837.5,00:30:06.548
405,person,0.911,67.3,393.5,540.1,1279.3,472.8,885.8,418756,303.7,836.4,00:30:06.614
406,person,0.910,67.3,393.4,539.2,1279.2,471.9,885.8,418000,303.3,836.3,00:30:06.682
407,person,0.900,78.7,393.3,532.9,1279.2,454.2,885.8,402338,305.8,836.3,00:30:06.761
408,person,0.901,78.5,393.0,532.7,1279.2,454.2,886.2,402483,305.6,836.1,00:30:06.832
409,person,0.885,92.3,391.8,531.8,1279.3,439.5,887.5,390105,312.0,835.6,00:30:06.897
410,person,0.884,92.2,392.1,531.5,1279.3,439.3,887.2,389764,311.9,835.7,00:30:06.974
411,person,0.878,115.3,392.0,521.4,1279.8,406.1,887.8,360581,318.4,835.9,00:30:07.040
412,person,0.877,116.6,392.3,523.1,1279.2,406.6,886.9,360579,319.8,835.7,00:30:07.115
413,person,0.879,110.1,392.5,516.9,1280.0,406.8,887.5,361059,313.5,836.2,00:30:07.185
414,person,0.879,110.0,392.7,516.8,1280.0,406.8,887.3,360929,313.4,836.4,00:30:07.265
415,person,0.887,99.7,392.4,515.3,1280.0,415.6,887.6,368871,307.5,836.2,00:30:07.359
416,person,0.885,99.7,393.1,516.4,1279.0,416.7,885.8,369133,308.0,836.0,00:30:07.440
417,person,0.887,91.4,396.0,509.4,1279.7,418.0,883.7,369399,300.4,837.9,00:30:07.510
418,person,0.886,91.5,396.4,509.6,1279.9,418.2,883.5,369463,300.6,838.2,00:30:07.574
419,person,0.884,81.1,397.7,503.4,1279.9,422.3,882.3,372618,292.2,838.8,00:30:07.642
420,person,0.885,81.0,397.4,503.3,1279.9,422.4,882.4,372703,292.1,838.7,00:30:07.717
421,person,0.902,71.2,398.8,500.5,1280.0,429.3,881.2,378289,285.9,839.4,00:30:07.778
422,person,0.902,71.2,399.4,500.5,1280.0,429.4,880.6,378110,285.9,839.7,00:30:07.857
423,person,0.913,64.9,401.0,508.5,1279.8,443.6,878.9,389884,286.7,840.4,00:30:07.920
424,person,0.914,64.9,401.0,508.5,1279.8,443.5,878.8,389787,286.7,840.4,00:30:07.985
425,person,0.918,51.3,399.1,516.6,1279.3,465.3,880.2,409554,283.9,839.2,00:30:08.059
426,person,0.917,52.5,400.4,517.3,1279.3,464.8,878.8,408497,284.9,839.8,00:30:08.121
427,person,0.923,44.0,400.1,527.9,1278.3,483.8,878.2,424903,286.0,839.2,00:30:08.185
428,person,0.924,44.0,400.0,527.8,1278.2,483.8,878.2,424894,285.9,839.1,00:30:08.254
429,person,0.919,43.0,402.0,548.2,1276.8,505.1,874.8,441901,295.6,839.4,00:30:08.325
430,person,0.919,43.1,401.9,548.1,1276.9,505.0,875.0,441890,295.6,839.4,00:30:08.387
431,person,0.928,46.3,402.3,569.5,1277.0,523.2,874.7,457641,307.9,839.7,00:30:08.475
432,person,0.928,46.4,402.6,569.5,1277.1,523.2,874.5,457497,308.0,839.9,00:30:08.549
